Gene symbol	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
TRDC	88.18	81.15	101.07	3014.58	282.01	781.33	486.88	370.28	124.65	17980.35	10797.21	11382.01	61.02	30.12	22.32	24.27	46.64	30.42	247.35	209.02	165.85	162.12
TREM1	415.23	236.64	211.1	102.29	116.84	67.5	71.27	101.48	66.5	574.87	79.86	95.76	1775.19	603.89	194.73	184.65	222.64	317.79	285.4	685.71	377.96	8433.29
TREM2	17.01	12	19.32	16.19	14.88	16.93	12.77	14.96	101.07	14.2	13.8	14.69	24.24	2158.63	160.83	3999.02	6016.86	928.15	391.28	611.7	16.04	24.65
TREML2	70.54	20.85	42.36	23.1	50.88	18.78	52.41	57.36	59.69	35.88	55.02	123.33	40.73	27.33	32.02	32.61	32.74	27.33	101.97	38.89	577.25	1082.74
TRIB2	1848.22	915.32	262.8	1138.06	2278.45	2377.36	275.83	5890.34	839.93	754.16	1307.78	1049.52	123.03	152.14	71.3	22.36	255.21	126.82	1949.19	1394.87	311.65	155.9
TRPM4	7.69	6.2	63.72	7.8	17.98	9.46	9.52	11.62	6.76	8.49	7.44	7.7	18.36	14.4	248.64	237.25	28.55	34.88	16.83	16.03	22.69	10.22
TRPM6	45.92	35.63	64.55	25.77	16.87	31.1	63.79	32.92	19.95	59.15	22.11	31	35.7	27.72	22.78	16.05	21.83	33.44	20.64	17.97	515.18	220.43
TSHR	19.82	17.26	95.35	11.65	11.35	13.72	7.64	236.3	11.89	15.29	20.16	12.75	14.29	15.6	9.44	7.81	19.8	22.63	20.59	9.98	17.61	18.38
TTC38	24.85	25.03	39.65	374.21	118	26.5	57.42	172.23	43.29	427.66	2894.46	662.14	105.65	92	437.36	328.98	95.29	143.96	458.42	370.59	155.21	47.06
TXK	309.77	195.38	85.82	676.06	1384.39	426.31	175.38	206.76	166.37	319.04	1564.53	2015.56	62.97	64.01	86.84	154.36	82.4	85.16	173.71	201.21	201.22	173.97
TYR	15.49	15.24	15.08	10.63	44.38	197.09	37.45	6.82	1778.51	304.55	72	51.18	14.07	36.31	25.03	31.8	32.73	12.31	142.77	104.47	13.14	150.83
UBASH3A	10.13	12.7	8.09	876.38	2177.79	714.94	203.08	935.01	1376.32	319.09	6.04	8.53	6.11	4.99	8.8	8.2	4.84	5.68	13.7	17.94	59.14	10.1
UGT1A8	680.53	471.19	163.9	82.14	98.52	123.33	101.45	93.5	450.37	462.51	78.13	85.32	91.51	96.13	55.51	55.04	85.83	54.25	63.87	59.03	97.15	336.42
UGT2B17	29.46	12.7	309.88	3.98	5.05	5.6	4.54	7.82	8.4	10.14	4.74	6.48	7.24	6.41	7.75	7.4	6.87	9.06	5.25	5.64	9	8.79
UPK3A	15.18	14.62	17.26	10.98	13.15	13.64	20.18	10.91	20.93	16.62	10.88	9.96	215.87	12.12	6.82	7.61	10.6	15.1	10.74	15.41	25.63	18.54
